"deutschland, germany","osterreich, oesterreich, austria, österreich","schweiz, switzerland","holland, niederlande, netherlands","polen, poland, polska","belgien, belgium","luxemburg, luxembourg","dänemark, danemark, daenemark, denmark","italien, italy","frankreich, france",portugal,"spanien, spain","uk, united kingdom, great britain, grossbritannien, großbritannien, vereinigtes königreich, england"
Berlin Deutschland,Wien Österreich,Genf Schweiz,Rotterdam Niederlande,Warschau Polen,Gent Belgien,Luxemburg,Kopenhagen Dänemark,Roma Italien,Paris Frankreich,Lissabon Portugal,Madrid Spanien,London UK
Hamburg Deutschland,Graz Österreich,Basel Schweiz,Den Haag Niederlande,Krakau Polen,Charleroi Belgien,Esch an der Alzette Luxemburg,Aarhus Dänemark,Milano Italien,Marseille Frankreich,Porto Portugal,Barcelona Spanien,Birmingham UK
München Deutschland,Linz Österreich,Bern Schweiz,Utrecht Niederlande,Lodz Polen,Lüttich Belgien,Hesperingen Luxemburg,Odense Dänemark,Napoli Italien,Lyon Frankreich,Vila Nova de Gaia Portugal,Valencia Spanien,Leeds UK
Köln Deutschland,Salzburg Österreich,Lausanne Schweiz,Eindhoven Niederlande,Breslau Polen,Brüssel Belgien,Wiltz Luxemburg,Aalborg Dänemark,Torino Italien,Toulouse Frankreich,Amadora Portugal,Sevilla Spanien,Glasgow UK
Frankfurt am Main Deutschland,Innsbruck Österreich,Winterthur Schweiz,Tilburg Niederlande,Posen Polen,Brügge Belgien,Differdingen Luxemburg,Frederiksberg Dänemark,Palermo Italien,Nice Frankreich,Braga Portugal,Saragossa Spanien,Sheffield UK
Stuttgart Deutschland,Klagenfurt am Wörthersee Österreich,Luzern Schweiz,Almere Niederlande,Danzig Polen,Schaarbeek Belgien,Düdelingen Luxemburg,Gentofte Dänemark,Genova Italien,Nantes Frankreich,Funchal Portugal,Málaga Spanien,Bradford UK
Düsseldorf Deutschland,Villach Österreich,St. Gallen Schweiz,Groningen Niederlande,Stettin Polen,Namur Belgien,Petingen Luxemburg,Esbjerg Dänemark,Bologna Italien,Strasbourg Frankreich,Coimbra Portugal,Murcia Spanien,Liverpool UK
Dortmund Deutschland,Wels Österreich,Lugano Schweiz,Breda Niederlande,Bromberg Polen,Anderlecht Belgien,Sassenheim Luxemburg,Gladsaxe Dänemark,Firenze Italien,Montpellier Frankreich,Setúbal Portugal,Palma Spanien,Edinburgh UK
Essen Deutschland,St. Pölten Österreich,Bienne Schweiz,Nijmegen Niederlande,Lublin Polen,Löwen Belgien,Hesperingen Luxemburg,Randers Dänemark,Bari Italien,Bordeaux Frankreich,Almada Portugal,Las Palmas de Gran Canaria Spanien,Manchester UK
Leipzig Deutschland,Dornbirn Österreich,Thun Schweiz,Apeldoorn Niederlande,Kattowitz Polen,Mons Belgien,Bettemburg Luxemburg,Kolding Dänemark,Catania Italien,Lille Frankreich,Agualva-Cacém Portugal,Bilbao Spanien,Bristol UK
Bremen Deutschland,Wiener Neustadt Österreich,Köniz Schweiz,Enschede Niederlande,Gdingen Polen,Molenbeek-Saint-Jean Belgien,Schifflingen Luxemburg,Horsens Dänemark,Venezia Italien,Rennes Frankreich,Queluz Portugal,Alicante Spanien,Kirklees UK
Dresden Deutschland,Steyr Österreich,La Chaux-de-Fonds Schweiz,Haarlem Niederlande,Tschenstochau Polen,Mechelen Belgien,flop,Lyngby-Taarbæk Dänemark,Verona Italien,Reims Frankreich,Rio Tinto Portugal,Córdoba Spanien,Fife UK
Hannover Deutschland,Feldkirch Österreich,Freiburg Schweiz,Arnhem Niederlande,Radom Polen,Ixelles Belgien,flop,Vejle Dänemark,Messina Italien,Le Havre Frankreich,Barreiro Portugal,Valladolid Spanien,Wirral UK
Nürnberg Deutschland,Bregenz Österreich,Schaffhausen Schweiz,Zaanstad Niederlande,Sosnowitz Polen,Aalst Belgien,flop,HvidovreA Dänemark,Padova Italien,Saint-Étienne Frankreich,Aveiro Portugal,Vigo Spanien,North Lanarkshire UK
Duisburg Deutschland,Leonding Österreich,Chur Schweiz,Amersfoort Niederlande,Thorn Polen,La Louvière Belgien,flop,Roskilde Dänemark,Trieste Italien,Toulon Frankreich,Viseu Portugal,Gijón Spanien,Wakefield UK
Bochum Deutschland,Klosterneuburg Österreich,Vernier Schweiz,Haarlemmermeer Niederlande,Kielce Polen,Ukkel Belgien,flop,Helsingør Dänemark,Taranto Italien,Grenoble Frankreich,Odivelas Portugal,L’Hospitalet de Llobregat Spanien,Cardiff UK
Wuppertal Deutschland,Baden Österreich,Neuenburg Schweiz,’s-Hertogenbosch Niederlande,Gleiwitz Polen,Kortrijk Belgien,flop,Herning Dänemark,Brescia Italien,Dijon Frankreich,Leiria Portugal,Vitoria-Gasteiz Spanien,Dudley UK
Bielefeld Deutschland,Wolfsberg Österreich,Uster Schweiz,Zoetermeer Niederlande,Hindenburg Polen,Hasselt Belgien,flop,Hørsholm Dänemark,Parma Italien,Nîmes Frankreich,Matosinhos Portugal,A Coruña Spanien,Wigan UK
Bonn Deutschland,Leoben Österreich,Sitten Schweiz,Dordrecht Niederlande,Beuthen Polen,Sint-Niklaas Belgien,flop,Silkeborg Dänemark,Prato Italien,Angers Frankreich,Guimarães Portugal,Granada Spanien,East Riding UK
Münster Deutschland,Krems an der Donau Österreich,Lancy Schweiz,Maastricht Niederlande,Bielitz-Biala Polen,Ostende Belgien,flop,Næstved Dänemark,Modena Italien,Villeurbanne Frankreich,Faro Portugal,Elche Spanien,South Lanarkshire UK
Karlsruhe Deutschland,Traun Österreich,Yverdon-les-Bains Schweiz,Leiden Niederlande,Allenstein Polen,Tournai Belgien,flop,Greve Strand Dänemark,Reggio Calabria Italien,Le Mans Frankreich,Loures Portugal,Oviedo Spanien,Coventry UK
Mannheim Deutschland,Amstetten Österreich,Emmen Schweiz,Zwolle Niederlande,Rzeszów Polen,Genk Belgien,flop,Tårnby Dänemark,Reggio nell’Emilia Italien,Aix-en-Provence Frankreich,Évora Portugal,Badalona Spanien,Belfast UK
Augsburg Deutschland,Kapfenberg Österreich,Zug Schweiz,Emmen Niederlande,Ruda Śląska Polen,Seraing Belgien,flop,Fredericia Dänemark,Perugia Italien,Clermont-Ferrand Frankreich,Rio de Mouro Portugal,Terrassa Spanien,Leicester UK
Wiesbaden Deutschland,Hallein Österreich,Kriens Schweiz,Ede Niederlande,Rybnik Polen,Roeselare Belgien,flop,Ballerup Dänemark,Ravenna Italien,Brest Frankreich,Corroios Portugal,Cartagena Spanien,Sunderland UK
Gelsenkirchen Deutschland,Mödling Österreich,Rapperswil-Jona Schweiz,Westland Niederlande,Tichau Polen,Verviers Belgien,flop,Rødovre Dänemark,Livorno Italien,Tours Frankreich,Amora Portugal,Jerez de la Frontera Spanien,Sandwell UK
Mönchengladbach Deutschland,Kufstein Österreich,Dübendorf Schweiz,Deventer Niederlande,Dombrowa Polen,Mouscron Belgien,flop,Viborg Dänemark,Cagliari Italien,Limoges Frankreich,São Domingos de Rana Portugal,Sabadell Spanien,Doncaster UK
Braunschweig Deutschland,Traiskirchen Österreich,Dietikon Schweiz,Delft Niederlande,Plotzk Polen,Woluwe-Saint-Lambert Belgien,flop,Køge Dänemark,Foggia Italien,Amiens Frankreich,Sesimbra Portugal,Móstoles Spanien,Stockport UK
Chemnitz Deutschland,Schwechat Österreich,Montreux Schweiz,Sittard-Geleen Niederlande,Oppeln Polen,Vorst Belgien,flop,Holstebro Dänemark,Rimini Italien,Annecy Frankreich,Ermesinde Portugal,Santa Cruz de Tenerife Spanien,Sefton UK
Kiel Deutschland,Braunau am Inn Österreich,Frauenfeld Schweiz,Alkmaar Niederlande,Elbing Polen,Beveren Belgien,flop,Brøndby Dänemark,Salerno Italien,Perpignan Frankreich,Portimão Portugal,Alcalá de Henares Spanien,Nottingham UK
Aachen Deutschland,Stockerau Österreich,Wetzikon Schweiz,Leeuwarden Niederlande,Landsberg an der Warthe Polen,Saint-Gilles Belgien,flop,Taastrup Dänemark,Ferrara Italien,Metz Frankreich,Maia Portugal,Pamplona Spanien,Newcastle-upon-Tyne UK
Halle (Saale) Deutschland,Saalfelden am Steinernen Meer Österreich,Wil Schweiz,Venlo Niederlande,Waldenburg Polen,Jette Belgien,flop,Slagelse Dänemark,Sassari Italien,Boulogne-Billancourt Frankreich,Cascais Portugal,Almería Spanien,Kingston-upon-Hull UK
Magdeburg Deutschland,Tulln an der Donau Österreich,Baar Schweiz,Heerlen Niederlande,Leslau Polen,Dendermonde Belgien,flop,Hillerød Dänemark,Latina Italien,Besançon Frankreich,Oeiras Portugal,Fuenlabrada Spanien,Bolton UK
Freiburg im Breisgau Deutschland,Hohenems Österreich,Meyrin Schweiz,Helmond Niederlande,Grünberg Polen,Etterbeek Belgien,flop,Albertslund Dänemark,Giugliano in Campania Italien,Orléans Frankreich,Castelo Branco Portugal,Leganés Spanien,Walsall UK
Krefeld Deutschland,Ansfelden Österreich,Bulle Schweiz,Hilversum Niederlande,Tarnau Polen,Beringen Belgien,flop,Sønderborg Dänemark,Monza Italien,Mulhouse Frankreich,Alcabideche Portugal,Donostia-San Sebastián Spanien,Plymouth UK
